NAME|ADDL CO INFO|ADDRESS 1|ADDRESS 2|CITY|STATE|ZIP|LATITUDE|LONGITUDE
WALGREEN CO.|DBA: WALGREENS # 09133|1314 N WEST AVE||JACKSON|MI|49202|42.264536|-84.423599
WALGREEN CO.|DBA: WALGREENS # 10339|501 N CONVENT ST||BOURBONNAIS|IL|60914|41.163202|-87.875572
GENOVESE DRUG STORES, INC.|RITE AID #10613|498 HEMPSTEAD TURNPIKE||WEST HEMPSTEAD|NY|11552|40.706068|-73.658981
KING KULLEN PHARMACIES CORP|KING KULLEN PHARMACY #3|315-25 MAIN ROAD|P.O. BOX 993|CUTCHOGUE|NY|11935|41.019454|-72.481282
SAFEWAY INC|SAFEWAY PHARMACY #1070|1001 SW HIGHLAND DR||GRESHAM|OR|97080|45.48962|-122.476471
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03078|1811 BELVIDERE RD||WAUKEGAN|IL|60085|42.350777|-87.854714
SAFEWAY INC|SAFEWAY PHARMACY #4469|246 W MONROE ST||BURNS|OR|97720|43.586784|-119.057083
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03994|200 E ROOSEVELT||VILLA PARK|IL|60181|41.860724|-87.972789
WAL-MART PHARMACY 10-1602||3401 FREEDOM DR||SPRINGFIELD|IL|62704|39.752902|-89.708001
PUBLIX PHARMACY #0459||ST JAMES SHOPPING CENTER|208-C ST JAMES AVENUE|GOOSE CREEK|SC|29445|33.006943|-80.044435
CUTTER'S HI-SCHOOL PHARMACY||103 ROBBINS ST|P.O. BOX 449|MOLALLA|OR|97038|45.150497|-122.576208
MARYLAND CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02045|2911 E JOPPA RD||PARKVILLE|MD|21234|39.395314|-76.525067
UNIVERSITY OF CHICAGO DCAM OUTPATIENT PHARMACY||5758 S. MARYLAND AVE.|MC0010|CHICAGO|IL|60637|41.79031|-87.605134
MARYLAND CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02010|1102 ANNAPOLIS RD||ODENTON|MD|21113|39.079151|-76.685333
ARKINS DRUG STORE||1033 8TH ST||LA SALLE|IL|61301|41.336355|-89.091984
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 07401|4101 IH 69 ACCESS ROAD SUITE C||CORPUS CHRISTI|TX|78410|27.857801|-97.631629
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 06247|1610 NASA RD 1||NASSAU BAY|TX|77058|29.548897|-95.096466
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 06410|431 B ST. JAMES AVE SUITE I||GOOSE CREEK|SC|29445|33.025064|-80.055733
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 04281|2500 BROAD STREET||CAMDEN|SC|29020|34.27217|-80.6092
YOAKUM COMMUNITY HOSPITAL||1200 CARL RAMERT DR||YOAKUM|TX|77995|29.307269|-97.129429
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 07231|4702 IRVINGTON BLVD||HOUSTON|TX|77009|29.803547|-95.360834
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05470|3210 E PALMETTO ST||FLORENCE|SC|29506|34.196778|-79.704181
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07351|3460 HIGHWAY 153||PIEDMONT|SC|29673|34.788215|-82.480823
WAL-MART PHARMACY 10-0651||4145 N. DOWLEN RD||BEAUMONT|TX|77706|30.121308|-94.165922
WAL-MART PHARMACY 10-1037||1317 N MAIN STREET||SUMMERVILLE|SC|29483|33.036874|-80.15381
WAL-MART PHARMACY 10-2233||7400 GUILFORD DRIVE||FREDERICK|MD|21704|39.394603|-77.412578
WAL-MART PHARMACY 10-0586||2709-A CHURCH STREET||CONWAY|SC|29526|33.859342|-79.088576
WAL-MART PHARMACY 10-1030||805 HWY 9 BYPASS WEST||LANCASTER|SC|29720||
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03599|7647 HIGHWAY 76||PENDLETON|SC|29670|34.633117|-82.783666
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 06003|3336 11TH STREET||ROCKFORD|IL|61109|42.224443|-89.071992
MEIJER GREAT LAKES LIMITED PARTNERSHIP|DBA MEIJER PHARMACY #215|755 E BOUGHTON RD||BOLINGBROOK|IL|60440|41.723611|-88.037721
SHADY COVE PHARMACY|CENTRAL DRUG STORE INC.|21195 HIGHWAY 62|P.O. BOX 700|SHADY COVE|OR|97539|42.607573|-122.815562
MARYLAND CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02865|500 EASTERN AVE.||ESSEX|MD|21221|39.30891|-76.475005
MEIJER GREAT LAKES LIMITED PARTNERSHIP|DBA MEIJER PHARMACY #182|855 S RANDALL RD||ST CHARLES|IL|60174|41.900341|-88.34043
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 03699|3505 CENTER ST.||DEER PARK|TX|77536|29.679735|-95.123072
WALGREEN CO.|DBA: WALGREENS # 07154|1601 CHURCH STREET||CONWAY|SC|29526|33.84531|-79.062943
MEIJER GREAT LAKES LIMITED PARTNERSHIP|DBA MEIJER PHARMACY #228|1301 MEIJER DRIVE||ROLLING MEADOWS|IL|60008|42.051078|-87.996652
SAFEWAY INC|SAFEWAY PHARMACY #2627|3250 LEIF ERICKSON DRIVE||ASTORIA|OR|97103|46.191871|-123.808007
ALBERTSONS LLC|SAFEWAY PHARMACY #839|8434 S KIPLING PKWY||LITTLETON|CO|80127|39.563443|-105.107935
CHARLIES DRUG|CHARLIE'S PHARMACY|1101 FILLMORE ST||SAN FRANCISCO|CA|94115|37.779811|-122.432262
ALBERTSONS LLC|SAV-ON PHARMACY #3713|15232 GEORGE ONEAL RD||BATON ROUGE|LA|70817|30.406863|-91.015011
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08052|19818 KELLY ROAD||HARPER WOODS|MI|48225|42.440854|-82.947941
ASHEVILLE DISCOUNT PHARMACY||76 PATTON AVE||ASHEVILLE|NC|28801|35.594226|-82.554755
APEX DRUG STORES, INC.|RITE AID #4520|5650 SCHAEFER ROAD||DEARBORN|MI|48126|42.330195|-83.176056
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08101|900 W. NINE MILE RD.||FERNDALE|MI|48220|42.46043|-83.145531
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08046|2235 EAST GRAND RIVER AVE.||HOWELL|MI|48843|42.599669|-83.909678
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08062|28774 GRATIOT||ROSEVILLE|MI|48066|42.509341|-82.928256
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 00356|51 BANANIER DR.||TOMS RIVER|NJ|08755|39.974923|-74.250024
HACKLEY PROFESSIONAL PHARMACY, INC|DBA TRINITY HEALTH PHARMACY - HACKLEY|1675 LEAHY ST|STE 111|MUSKEGON|MI|49442|43.221829|-86.241003
THE PHARMACY SHOPPE, INC.|DBA LAKELAND PHARMACY SHOPPE #1 - ROYALTON|1234 NAPIER AVE STE B100||SAINT JOSEPH|MI|49085|42.08962|-86.477517
MEIJER INC #53||4200 HIGHLAND ROAD||WATERFORD|MI|48328|42.651442|-83.368945
MEIJER INC #64||3145 ANN ARBOR/SALINE RD||ANN ARBOR|MI|48103|42.241257|-83.768438
MEIJER INC #68||37201 WARREN RD||WESTLAND|MI|48185|42.334449|-83.407147
PROMEDICA MEMORIAL HOSPITAL||715 S TAFT AVE||FREMONT|OH|43420|41.339123|-83.1344
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 04202|1830 WEST DIXON BOULEVARD||SHELBY|NC|28152|35.295231|-81.574486
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07536|4307 WILGROVE-MINT HILL RD.||MINT HILL|NC|28227|35.180455|-80.647901
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07013|121 MONTICELLO RD.||WEAVERVILLE|NC|28787|35.708748|-82.578646
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07048|7295 BEACH DRIVE||OCEAN ISLE BEACH|NC|28469|33.897034|-78.48612
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03525|1320-6 WEST D STREET||NORTH WILKESBORO|NC|28659|36.159149|-81.154866
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03563|1504 2ND ST NE||HICKORY|NC|28601|35.752924|-81.336463
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03620|101 W. EHRINGHAUS ST.||ELIZABETH CITY|NC|27909|36.296366|-76.223906
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 04116|24 WESTGATE PKWY.||ASHEVILLE|NC|28806|35.59089|-82.575715
OHIO CVS STORES, L.L.C.|DBA: CVS/PHARMACY  # 03471|600 E. STATE ST.||FREMONT|OH|43420|41.345092|-83.104178
RITE AID OF NEW JERSEY, INC.|RITE AID #135|217 SUNSET ROAD||WILLINGBORO|NJ|08046|40.048731|-74.882409
MEIJER INC #33||3955 U.S. 31 SOUTH HWY||TRAVERSE CITY|MI|49684||
MEIJER INC #42||8400 GRATIOT ROAD||SAGINAW|MI|48609|43.416183|-84.079369
UNION PRESCRIPTION CENTER I INC||11830 N SAGINAW ST||MOUNT MORRIS|MI|48458|43.12009|-83.693913
TRINITY HEALTH - MICHIGAN|TRINITY HEALTH ANN ARBOR HOSPITAL|5301 EAST HURON RIVER DR||ANN ARBOR|MI|48106||
WALGREEN EASTERN CO., INC.|DBA: WALGREENS # 01315|2353 LAKEWOOD RD||TOMS RIVER|NJ|08755|39.999954|-74.212102
MEIJER INC #43||3360 TITTABAWASSEE ROAD||SAGINAW|MI|48604|43.480242|-83.981937
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08121|37340 FIVE MILE RD.||LIVONIA|MI|48154|42.396507|-83.412377
WOOD COUNTY HOSPITAL INC||950 W WOOSTER ST|PHARMACY DEPARTMENT|BOWLING GREEN|OH|43402|41.375763|-83.665562
US ARMY- WILLIAM BEAUMONT ARMY MED CTR|US ARMY|18511 HIGHLANDER MEDICS STREET|ROOM W1410|EL PASO|TX|79918||
TAS DRUG||500 W CHURCH ST||CHERRYVILLE|NC|28021|35.380655|-81.385999
NORTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 07053|904 SOUTH 5TH ST.||MEBANE|NC|27302|36.07756|-79.275365
MEIJER INC #109||1703 HAGGERTY ROAD||COMMERCE|MI|48390|42.545567|-83.438762
MEIJER INC #123||16300 FORT STREET||SOUTHGATE|MI|48195|42.189821|-83.18261
LOUISIANA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05544|100 EDGEWOOD DR.||PINEVILLE|LA|71360|31.333395|-92.398926
LOUISIANA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05293|24600 CHURCH ST.||PLAQUEMINE|LA|70764|30.281876|-91.226313
LOUISIANA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05321|1214 MAIN ST||BAKER|LA|70714|30.588855|-91.167854
LOUISIANA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05354|1624 N. BURNSIDE||GONZALES|LA|70737|30.247052|-90.920684
LOUISIANA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05396|4890 BARKSDALE BLVD.||BOSSIER CITY|LA|71112|32.460512|-93.662593
THE PLAZA PHARMACIST||3400 WAKE FOREST RD||RALEIGH|NC|27609|35.828455|-78.61849
FAMILY FARE PHARMACY #115||2275 HEALTH DR SW||WYOMING|MI|49519|42.86|-85.71985
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02264|589 BERLIN CROSS KEYS ROAD||SICKLERVILLE|NJ|08081|39.737391|-75.003002
ALBERTSONS LLC|SAV-ON PHARMACY #2756|1210 ALBERTSON PARKWAY||BROUSSARD|LA|70518|30.140778|-91.94847
MISSION PHARMACY LLC||926 S MISSION ST||MT PLEASANT|MI|48858|43.595829|-84.768051
SMITH'S DRUGS OF FOREST CITY||139 E MAIN ST||FOREST CITY|NC|28043|35.333872|-81.863878
ALBERTSONS LLC|SAV-ON PHARMACY #3747|15128 AIRLINE HWY||BATON ROUGE|LA|70817|30.357637|-91.008319
MEIJER INC #172||3883 E. GRAND RIVER||HOWELL|MI|48843|42.587839|-83.876613
WOODWARD DETROIT CVS, L.L.C.|DBA: CVS/PHARMACY  # 08246|1545 FRED MOORE HWY.||SAINT CLAIR|MI|48079|42.816959|-82.504334
WALGREEN CO.|DBA: WALGREENS # 06688|542 RIVER HWY||MOORESVILLE|NC|28117|35.595124|-80.868192
WALGREEN EASTERN CO., INC.|DBA: WALGREENS # 06321|2479 CHURCH ROAD||TOMS RIVER|NJ|08753|40.015914|-74.146183
BLACK RIVER HEALTH||DBA MAPLE HILL PHARMACY|4811 NC HIGHWAY 50|MAPLE HILL|NC|28454|34.705866|-77.734749
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 05855|1163 E. CHESTNUT AVE.||VINELAND|NJ|08360|39.477733|-75.002359
FAMILY HEALTH CARE PHARMACY||1035 E WILCOX AVE||WHITE CLOUD|MI|49349|43.55047|-85.77573
NEW JERSEY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03618|400 KINGS HWY.||HADDON HEIGHTS|NJ|08035|39.886903|-75.05908
WALGREEN CO.|DBA: WALGREENS # 07805|3296 VILLAGE DRIVE||FAYETTEVILLE|NC|28304|35.03095|-78.930024
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 01417|1931 W CERMAK RD||CHICAGO|IL|60608|41.852095|-87.674133
KENTUCKY CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 06342|2104 NORTH MAIN ST||LONDON|KY|40741|37.14225|-84.101505
HIGHLAND PARK CVS, L.L.C.|DBA: CVS/PHARMACY  # 06897|1212 13TH AVENUE||MENDOTA|IL|61342|41.553969|-89.127941
KAISER PERM MED OFF PHCY|KAISER PERMANENTE ROCKWOOD PHARMACY|19500 SE STARK ST||PORTLAND|OR|97233|45.517929|-122.461783
L & W CHEMISTS INC|DBA NORTH SHORE PHARMACY|25 SOUTHDOWN RD||HUNTINGTON|NY|11743|40.880137|-73.426055
PILL BOX DRUGS|DBA: DALLAS PILL BOX|625 SE MILLER AVE||DALLAS|OR|97338|44.918353|-123.308749
POSTAL PHARMACY|DBA: OAKRIDGE PHARMACY|47809 HIGHWAY 58|PO BOX 697|OAKRIDGE|OR|97463|43.746077|-122.476243
ST FRANCIS HOSPITAL||100 PORT WASHINGTON BLVD|PHARMACY DEPARTMENT|ROSLYN|NY|11576|40.804619|-73.670233
SANTIAM MEMORIAL HOSPITAL||1401 N 10TH AVE||STAYTON|OR|97383|44.804931|-122.785107
SAFEWAY INC|SAFEWAY PHARMACY #0521|20151 SE HIGHWAY 212||BORING|OR|97089|45.418577|-122.455888
SAFEWAY INC|SAFEWAY PHARMACY #2723|1815 4TH STREET||TILLAMOOK|OR|97141|45.455447|-123.845757
SAFEWAY INC|SAFEWAY PHARMACY #1665|1705 S HWY 97||REDMOND|OR|97756|44.260123|-121.179137
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03729|7350 BARRINGTON RD.||HANOVER PARK|IL|60133|42.004665|-88.14498
ST JOSEPH'S HOSPITAL MEDICAL|PHARMACY DEPARTMENT|2200 E WASHINGTON ST||BLOOMINGTON|IL|61701|40.482534|-88.955193
SAFEWAY INC|SAFEWAY PHARMACY #0386|1755 IVY STREET||JUNCTION CITY|OR|97448|44.22923|-123.205309
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03322|2323 CHARLES STREET||ROCKFORD|IL|61104|42.260406|-89.058661
SAFEWAY INC|SAFEWAY PHARMACY #0514|642 NE 3RD ST||BEND|OR|97701|44.056466|-121.301534
WALGREEN CO.|DBA: WALGREENS # 05375|3700 HWY 365||PORT ARTHUR|TX|77642|29.954579|-93.985984
WALGREEN CO.|DBA: WALGREENS # 04696|411 S MASON RD||KATY|TX|77450|29.779457|-95.751544
WALGREEN CO.|DBA: WALGREENS # 06554|1033 SHOOTING PARK ROAD||PERU|IL|61354|41.338673|-89.118412
WALGREEN CO.|DBA: WALGREENS # 05124|8628 S COTTAGE GROVE AVE||CHICAGO|IL|60619|41.73791|-87.605125
WALGREEN CO.|DBA: WALGREENS # 03660|3287 BROADWAY ST.||PEARLAND|TX|77581|29.560198|-95.273557
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03433|2560 W GOLF RD||HOFFMAN ESTATES|IL|60169|42.046772|-88.14303
WALGREEN CO.|DBA: WALGREENS # 05709|16590 EL CAMINO REAL||HOUSTON|TX|77062|29.557191|-95.122798
WALGREEN CO.|DBA: WALGREENS # 04901|12407 GRANT ROAD||CYPRESS|TX|77429|29.984352|-95.611683
BOND DRUG COMPANY OF ILLINOIS, L.L.C.|DBA: WALGREENS # 03076|7251 LAKE STREET||RIVER FOREST|IL|60305|41.888148|-87.806641
CVS ALBANY, L.L.C.|DBA: CVS/PHARMACY  # 00922|499 MONTAUK HIGHWAY||WEST ISLIP|NY|11795|40.697032|-73.308093
WALGREEN CO.|DBA: WALGREENS # 02958|3316 AVENUE H||ROSENBERG|TX|77471|29.558042|-95.792958
US ARMY KIRK HEALTH CLINIC||2501 OAKINGTON ST.|PHARMACY|ABERDEEN PROVING GROUND|MD|21005|39.490441|-76.136831
PUBLIX PHARMACY #0506||250 EASTGATE DRIVE||AIKEN|SC|29803|33.510475|-81.715669
WALGREEN CO.|DBA: WALGREENS # 03948|5140 W DIVERSEY AVE||CHICAGO|IL|60639|41.93158|-87.754844
RITE AID OF NEW YORK, INC.|RITE AID #4552|2 WHITNEY AVENUE||FLORAL PARK|NY|11001|40.72878|-73.704355
THRIFTY PAYLESS, INC.|RITE AID #5376|16261 SOUTH HIGHWAY 101||HARBOR|OR|97415|42.024749|-124.228775
THRIFTY PAYLESS, INC.|RITE AID #5385|2341 ASHLAND STREET||ASHLAND|OR|97520|42.185501|-122.669986
THRIFTY PAYLESS, INC.|RITE AID #5323|14625 S.W. ALLEN BOULEVARD||BEAVERTON|OR|97007|45.476324|-122.827209
THRIFTY PAYLESS, INC.|RITE AID #5333|785 SOUTH COLUMBIA RIVER HWY||ST HELENS|OR|97051|45.849429|-122.831168
THRIFTY PAYLESS, INC.|RITE AID #5339|2021 NW 185TH AVENUE||HILLSBORO|OR|97124|45.535071|-122.867805
THRIFTY PAYLESS, INC.|RITE AID #5343|145 SOUTH HIGHWAY 101||WARRENTON|OR|97146|46.161056|-123.899502
THRIFTY PAYLESS, INC.|RITE AID #5357|514 NE 181ST AVENUE||PORTLAND|OR|97230|45.526828|-122.476048
THRIFTY PAYLESS, INC.|RITE AID #5360|681 LANCASTER DRIVE NE||SALEM|OR|97301|44.938711|-122.983205
GENOVESE DRUG STORES, INC.|RITE AID #10641|283 WEST JERICHO TURNPIKE||HUNTINGTON STATION|NY|11746|40.828775|-73.420062
LAKE DISTRICT HOSPITAL||700 S J ST||LAKEVIEW|OR|97630|42.181113|-120.352791
MARYLAND CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 02043|3300A CENTENNIAL LANE||ELLICOTT CITY|MD|21042|39.278486|-76.860964
GENOVESE DRUG STORES, INC.|RITE AID #10661|101 MAIN STREET||SAYVILLE|NY|11782|40.659636|-73.089301
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 06665|10222 EAST FWY||JACINTO CITY|TX|77029|29.773156|-95.24864
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 07435|23865 FM 1314 RD.||PORTER|TX|77365|30.10476|-95.250755
CVS PHARMACY, INC.|DBA: CVS/PHARMACY  # 07485|31013 FM 2920 RD.||WALLER|TX|77484|30.062106|-95.910882
SOUTH CAROLINA CVS PHARMACY, L.L.C.|DBA: CVS/PHARMACY  # 03542|1210 WILSON ROAD||NEWBERRY|SC|29108|34.282765|-81.595933
WAL-MART PHARMACY 10-0452||2800 NOLANA AVE||MCALLEN|TX|78504|26.24123|-98.246653
WAL-MART PHARMACY 10-0140||2500 DANIEL MCCALL DRIVE||LUFKIN|TX|75904|31.29788|-94.72956
WALGREEN CO.|DBA: WALGREENS #15931|4161 S. STAPLES ST||CORPUS CHRISTI|TX|78411|27.724875|-97.378593
PROVIDENCE HEALTH & SERVICES - OREGON|PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PHARMACY|810 12TH ST||HOOD RIVER|OR|97031|45.70438|-121.523365
